Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, Precipitation, Snowfall
1/1/1919,27,21,24, M,0.03,0.2
1/2/1919,32,19,25.5,-19.9,0,0
1/3/1919,25,17,21,-23.9,0,0
1/4/1919,45,17,31,-12.9,0,0
1/5/1919,43,28,35.5,-10.9,0,0
1/6/1919,54,30,42,-3.9, T,0
1/7/1919,50,33,41.5,0.6,0.03,0
1/8/1919,50,28,39,-5.9,0,0
1/9/1919,52,32,42,-3.5,0,0
1/10/1919,58,31,44.5,-2,0,0
1/11/1919,63,33,48,3,0,0
1/12/1919,65,35,50,5.9,0,0
1/13/1919,62,46,54,8.9,0.03,0
1/14/1919,54,38,46,-2.2,0.1,0
1/15/1919,41,34,37.5,-7.7,0.08,0
1/16/1919,40,36,38,-7.8,0.95,0
1/17/1919,55,38,46.5,0.2,0.08,0
1/18/1919,62,33,47.5,-0.4,0,0
1/19/1919,56,39,47.5,0.6,0,0
1/20/1919,62,47,54.5,8.5, T,0
1/21/1919,67,52,59.5,13.4,0,0
1/22/1919,60,51,55.5,8.4,0.27,0
1/23/1919,58,41,49.5,2.8,0,0
1/24/1919,62,41,51.5,3.2,0,0
1/25/1919,56,46,51,7.6,0,0
1/26/1919,61,39,50,1,0.05,0
1/27/1919,53,46,49.5,-2,0.18,0
1/28/1919,56,38,47,-0.1,0,0
1/29/1919,62,39,50.5,0.8,0,0
1/30/1919,63,41,52,2.2,0,0
1/31/1919,63,47,55,10.1,0,0
2/1/1919,62,47,54.5,7.4,1.15,0
2/2/1919,60,49,54.5,9.3,0.26,0
2/3/1919,54,40,47,-0.3,0.01,0
2/4/1919,40,33,36.5,-9.4,0,0
2/5/1919,53,33,43,-5.1,0,0
2/6/1919,60,37,48.5,-3.2,0,0
2/7/1919,43,36,39.5,-7.3,0,0
2/8/1919,45,31,38,-9.5,0,0
2/9/1919,42,28,35,-12.1,0,0
2/10/1919,54,32,43,-2.3,0,0
2/11/1919,72,37,54.5,5.5,0,0
2/12/1919,67,52,59.5,9.3,0.24,0
2/13/1919,61,47,54,2.7,0,0
2/14/1919,53,39,46,-3,0,0
2/15/1919,55,35,45,-5.7,0,0
2/16/1919,58,34,46,-5.4,0,0
2/17/1919,54,42,48,-1.7,0,0
2/18/1919,53,36,44.5,-4.4,0,0
2/19/1919,54,43,48.5,-4.1,0.55,0
2/20/1919,62,47,54.5,1.2,0,0
2/21/1919,62,41,51.5,-1.1,0.07,0
2/22/1919,54,43,48.5,-4.8,0,0
2/23/1919,61,36,48.5,-5.6,0,0
2/24/1919,59,46,52.5,-1.3, T,0
2/25/1919,56,30,43,-13.1,0.01,0.1
2/26/1919,54,28,41,-10.8,0,0
2/27/1919,64,35,49.5,-0.6,0,0
2/28/1919,59,25,42,-19.4,0,0
3/1/1919,56,28,42,-10.7,0.01,0
3/2/1919,73,43,58,4,0,0
3/3/1919,75,49,62,7.8,0,0
3/4/1919,76,32,54,-4, T,0
3/5/1919,52,29,40.5,-14.3,0,0
3/6/1919,66,32,49,-2.6,0,0
3/7/1919,62,39,50.5,-7.4,0,0
3/8/1919,56,43,49.5,-6.7,0.29,0
3/9/1919,56,38,47,-7,0,0
3/10/1919,57,46,51.5,-2.8,0,0
3/11/1919,60,40,50,-6.6,0,0
3/12/1919,66,41,53.5,-3.4,0,0
3/13/1919,68,53,60.5,4.8,0,0
3/14/1919,72,62,67,13,0.06,0
3/15/1919,75,57,66,13.7,0.27,0
3/16/1919,76,58,67,7.9,0.01,0
3/17/1919,69,47,58,1.1,0,0
3/18/1919,65,45,55,-3.7,0,0
3/19/1919,71,46,58.5,0,0,0
3/20/1919,73,51,62,4.2,0,0
3/21/1919,76,51,63.5,4.5,0,0
3/22/1919,76,54,65,2.7,0,0
3/23/1919,73,58,65.5,6.4, T,0
3/24/1919,65,56,60.5,-2.4,1.08,0
3/25/1919,65,56,60.5,0.8,0.15,0
3/26/1919,59,41,50,-8.5, T,0
3/27/1919,64,37,50.5,-9.7,0,0
3/28/1919,70,44,57,-3.5,0,0
3/29/1919,68,52,60,-1.3,0.79,0
3/30/1919,66,55,60.5,-2.6,0.31,0
3/31/1919,70,50,60,-2.3,0,0
4/1/1919,66,51,58.5,-4.6,0,0
4/2/1919,68,52,60,-2.4, T,0
4/3/1919,68,54,61,-1.6,0.72,0
4/4/1919,72,50,61,-1.4,0.25,0
4/5/1919,80,55,67.5,8.8,0.01,0
4/6/1919,80,65,72.5,11.1,0,0
4/7/1919,78,58,68,3.8,0.21,0
4/8/1919,82,60,71,6.5, T,0
4/9/1919,73,44,58.5,-6.7,0.23,0
4/10/1919,65,40,52.5,-12.5,0,0
4/11/1919,78,47,62.5,-3.3,0,0
4/12/1919,83,58,70.5,5.5,0,0
4/13/1919,81,58,69.5,5.7,0,0
4/14/1919,75,62,68.5,5.9,0,0
4/15/1919,68,55,61.5,-2.8,0.1,0
4/16/1919,64,46,55,-9.6,0,0
4/17/1919,70,47,58.5,-6.4,0,0
4/18/1919,78,51,64.5,-1.6,0,0
4/19/1919,79,56,67.5,3.1,0,0
4/20/1919,80,57,68.5,3.8,0,0
4/21/1919,81,58,69.5,2,0,0
4/22/1919,82,61,71.5,4.3,0,0
4/23/1919,83,63,73,6.5,0,0
4/24/1919,84,63,73.5,6.7,0,0
4/25/1919,82,60,71,1.9,0,0
4/26/1919,66,52,59,-11.4,0.1,0
4/27/1919,80,54,67,-3.2, T,0
4/28/1919,76,64,70,1.6,0.44,0
4/29/1919,72,60,66,-1.2,0.47,0
4/30/1919,77,57,67,0,0.02,0
5/1/1919,80,57,68.5,-1.3,0,0
5/2/1919,83,62,72.5,3.9,0,0
5/3/1919,83,64,73.5,6.1,0,0
5/4/1919,87,68,77.5,8.8,0,0
5/5/1919,84,65,74.5,5.5,0.35,0
5/6/1919,78,67,72.5,2.7,0.01,0
5/7/1919,70,55,62.5,-2.6,0.47,0
5/8/1919,62,54,58,-12.9, T,0
5/9/1919,63,58,60.5,-11.2,0,0
5/10/1919,71,57,64,-7,0,0
5/11/1919,69,59,64,-5.8,0.84,0
5/12/1919,78,62,70,-2.6,0,0
5/13/1919,86,61,73.5,0.6,0,0
5/14/1919,77,66,71.5,-3.2, T,0
5/15/1919,86,65,75.5,2.5,0,0
5/16/1919,86,57,71.5,2.7,1.57,0
5/17/1919,82,59,70.5,-2.6,0.11,0
5/18/1919,78,67,72.5,-1.4,0,0
5/19/1919,77,59,68,-5.7,0.27,0
5/20/1919,76,55,65.5,-8.5,0,0
5/21/1919,75,53,64,-10.3,0,0
5/22/1919,84,56,70,-4.6,0,0
5/23/1919,80,63,71.5,-2.8, T,0
5/24/1919,75,65,70,-6.1,0.49,0
5/25/1919,82,63,72.5,-3.4,0.09,0
5/26/1919,77,63,70,-7.7,0.05,0
5/27/1919,82,62,72,-4.4,0.03,0
5/28/1919,80,64,72,-4.7,0.07,0
5/29/1919,80,66,73,-3.5,0.03,0
5/30/1919,80,64,72,-3.7,0,0
5/31/1919,84,67,75.5,-1, T,0
6/1/1919,86,67,76.5,-3.3,0,0
6/2/1919,67,54,60.5,-17.5,0.57,0
6/3/1919,72,53,62.5,-14.2,0,0
6/4/1919,81,54,67.5,-11.5,0,0
6/5/1919,83,62,72.5,-7.7,0,0
6/6/1919,93,67,80,0,0,0
6/7/1919,92,69,80.5,1.3,0,0
6/8/1919,89,71,80,0.1,0,0
6/9/1919,82,70,76,-0.1, T,0
6/10/1919,82,67,74.5,-3.8,0.04,0
6/11/1919,88,70,79,-0.1,0,0
6/12/1919,90,70,80,-0.8, T,0
6/13/1919,89,70,79.5,-1.5, T,0
6/14/1919,87,71,79,-2.7,0.1,0
6/15/1919,84,72,78,-5.4, T,0
6/16/1919,83,70,76.5,-4.6,0.04,0
6/17/1919,94,69,81.5,-1.2,0,0
6/18/1919,92,74,83,0.6,0,0
6/19/1919,84,73,78.5,-3.6,0,0
6/20/1919,88,68,78,-1.3,0.38,0
6/21/1919,86,71,78.5,-1.9, T,0
6/22/1919,90,72,81,-0.1,0.01,0
6/23/1919,90,72,81,-1.8, T,0
6/24/1919,87,74,80.5,-0.4, T,0
6/25/1919,88,74,81,-1.6,0.04,0
6/26/1919,86,72,79,-1.7,0.14,0
6/27/1919,88,72,80,-1.4,0,0
6/28/1919,89,72,80.5,0,0,0
6/29/1919,90,73,81.5,-0.2,0,0
6/30/1919,87,73,80,-1.8,0.1,0
7/1/1919,87,72,79.5,-2.4,0.53,0
7/2/1919,86,71,78.5,-3.1,0.11,0
7/3/1919,91,73,82,-1.2,0.1,0
7/4/1919,92,73,82.5,-0.8,0,0
7/5/1919,92,76,84,0.1,0,0
7/6/1919,92,72,82,-2,0,0
7/7/1919,89,74,81.5,-1.7,0,0
7/8/1919,94,75,84.5,0.7,0,0
7/9/1919,95,76,85.5,-0.4,0,0
7/10/1919,97,76,86.5,0.5,0,0
7/11/1919,98,80,89,1.9,0,0
7/12/1919,93,74,83.5,-0.2,0,0
7/13/1919,93,75,84,-0.3,0,0
7/14/1919,95,76,85.5,1.6,0,0
7/15/1919,98,78,88,1.5,0,0
7/16/1919,93,78,85.5,-1.6,0,0
7/17/1919,85,70,77.5,-6.7,0.8,0
7/18/1919,79,69,74,-9.7,1.04,0
7/19/1919,85,73,79,-5.8,0.31,0
7/20/1919,84,74,79,-6.9,0.02,0
7/21/1919,91,74,82.5,-3,0,0
7/22/1919,90,70,80,-3.6,0.39,0
7/23/1919,89,72,80.5,-5.6,0,0
7/24/1919,91,73,82,-4.2,0,0
7/25/1919,92,76,84,-2.7,0,0
7/26/1919,92,76,84,-3.8,0,0
7/27/1919,90,73,81.5,-3.3,0,0
7/28/1919,91,74,82.5,-3.4,0,0
7/29/1919,92,75,83.5,-2.9,0,0
7/30/1919,93,77,85,-2,0,0
7/31/1919,93,75,84,-1.5,0,0
8/1/1919,93,76,84.5,-3,0,0
8/2/1919,95,76,85.5,-2.5,0,0
8/3/1919,94,76,85,-4,0,0
8/4/1919,93,74,83.5,-1,0,0
8/5/1919,94,72,83,-2,0,0
8/6/1919,96,73,84.5,-2,0,0
8/7/1919,99,74,86.5,-0.5,0,0
8/8/1919,98,78,88,-0.5,0,0
8/9/1919,92,75,83.5,-3.4,0.35,0
8/10/1919,91,74,82.5,-3.4,0,0
8/11/1919,95,74,84.5,-1.8,0,0
8/12/1919,95,75,85,-0.2,0,0
8/13/1919,99,76,87.5,2.3,0,0
8/14/1919,96,78,87,1.4,0,0
8/15/1919,95,77,86,1.5,0,0
8/16/1919,96,77,86.5,3.1,0.01,0
8/17/1919,96,76,86,2.3, T,0
8/18/1919,82,74,78,-4.6,0.63,0
8/19/1919,91,71,81,-3.5,0,0
8/20/1919,87,72,79.5,-5.3,0.18,0
8/21/1919,75,70,72.5,-10.2,0.83,0
8/22/1919,79,70,74.5,-9.5,2.13,0
8/23/1919,88,73,80.5,-4.8,0.02,0
8/24/1919,85,74,79.5,-3.1, T,0
8/25/1919,89,71,80,-0.4,0.11,0
8/26/1919,90,70,80,-2.7,0,0
8/27/1919,89,72,80.5,-3.4,0,0
8/28/1919,89,72,80.5,-3.7,0,0
8/29/1919,92,74,83,-0.5,0,0
8/30/1919,90,70,80,-3.7,0.36,0
8/31/1919,90,73,81.5,-4.4,0,0
9/1/1919,82,71,76.5,-5.6, T,0
9/2/1919,82,65,73.5,-8.9,0,0
9/3/1919,83,63,73,-9.1,0,0
9/4/1919,85,67,76,-7.7,0,0
9/5/1919,87,68,77.5,-6.4,0,0
9/6/1919,85,66,75.5,-4.1,0,0
9/7/1919,85,69,77,-2.8,0,0
9/8/1919,88,70,79,-0.9,0,0
9/9/1919,91,72,81.5,1.9,0,0
9/10/1919,96,73,84.5,4.3,0,0
9/11/1919,96,75,85.5,4.1,0,0
9/12/1919,89,73,81,3,0,0
9/13/1919,86,63,74.5,-7.2,0,0
9/14/1919,86,71,78.5,0.7,0.07,0
9/15/1919,87,75,81,4.6, T,0
9/16/1919,90,74,82,4.5,0,0
9/17/1919,84,71,77.5,2.3,0.02,0
9/18/1919,87,72,79.5,5.7,0,0
9/19/1919,88,70,79,4.6,0.91,0
9/20/1919,86,72,79,1, T,0
9/21/1919,85,67,76,5.3,1.99,0
9/22/1919,67,61,64,-7.3,0.56,0
9/23/1919,73,61,67,-6.9, T,0
9/24/1919,74,63,68.5,-5.5,0,0
9/25/1919,66,61,63.5,-11.2,0.3,0
9/26/1919,69,62,65.5,-7.8,0.04,0
9/27/1919,86,67,76.5,2.1,0,0
9/28/1919,84,72,78,5.4,0,0
9/29/1919,86,70,78,4.8,0,0
9/30/1919,86,69,77.5,4.7,0,0
10/1/1919,85,66,75.5,4,0,0
10/2/1919,83,63,73,1.4,0,0
10/3/1919,86,68,77,8.2,0,0
10/4/1919,82,67,74.5,9.1,0.19,0
10/5/1919,80,66,73,3.4,0.31,0
10/6/1919,82,66,74,3.3,0,0
10/7/1919,73,64,68.5,-2.4,1.23,0
10/8/1919,84,64,74,3.4,0.01,0
10/9/1919,86,73,79.5,9.3,0,0
10/10/1919,84,51,67.5,-0.9,1.85,0
10/11/1919,62,48,55,-12.6,0.04,0
10/12/1919,64,53,58.5,-6.8, T,0
10/13/1919,62,58,60,-6.4,0.06,0
10/14/1919,74,60,67,0.4, T,0
10/15/1919,77,66,71.5,4.7,0.05,0
10/16/1919,69,53,61,-7.5,1.69,0
10/17/1919,67,52,59.5,-8.2, T,0
10/18/1919,71,52,61.5,-5.4,0,0
10/19/1919,72,56,64,-2.5,0,0
10/20/1919,79,64,71.5,5.3,0,0
10/21/1919,72,60,66,-3.4,1.73,0
10/22/1919,68,63,65.5,-1.1,0.14,0
10/23/1919,84,65,74.5,11.8, T,0
10/24/1919,85,72,78.5,14.1,0,0
10/25/1919,85,73,79,14.4,0,0
10/26/1919,85,72,78.5,15.7,0,0
10/27/1919,84,56,70,15.1, T,0
10/28/1919,56,47,51.5,-4.6,0.14,0
10/29/1919,63,47,55,-12.2,0.02,0
10/30/1919,79,63,71,6.1,0.01,0
10/31/1919,83, M, M, M,3.47,0
11/1/1919, M,48, M, M, T,0
11/2/1919,63,45,54,-9.8,0,0
11/3/1919,79,50,64.5,0,0,0
11/4/1919,65,50,57.5,-4.6,0,0
11/5/1919,73,50,61.5,-0.2,0,0
11/6/1919,77,53,65,6.7, T,0
11/7/1919,53,50,51.5,-4.9,0.12,0
11/8/1919,61,53,57,-3.6,0.06,0
11/9/1919,68,51,59.5,1.3,0.76,0
11/10/1919,59,47,53,-8.8,0,0
11/11/1919,62,40,51,-8.9,0,0
11/12/1919,49,34,41.5,-20,0,0
11/13/1919,50,28,39,-17.6,0,0
11/14/1919,57,32,44.5,-13.7,0,0
11/15/1919,62,38,50,-7.8,0,0
11/16/1919,69,46,57.5,-1.9,0,0
11/17/1919,72,44,58,1,0,0
11/18/1919,72,45,58.5,2.5,0,0
11/19/1919,62,48,55,0.4, T,0
11/20/1919,71,50,60.5,3.8,0,0
11/21/1919,75,55,65,7.2,0,0
11/22/1919,72,50,61,7.1,0,0
11/23/1919,78,54,66,11,0,0
11/24/1919,77,57,67,12.9, T,0
11/25/1919,75,50,62.5,13.7,0.49,0
11/26/1919,50,44,47,-1.4, T,0
11/27/1919,45,37,41,-12.5,0.28,0
11/28/1919,38,34,36,-15.6,2.06,0
11/29/1919,44,35,39.5,-11.8,0.02,0
11/30/1919,54,33,43.5,-9.4,0,0
12/1/1919,64,40,52,-0.1,0,0
12/2/1919,49,28,38.5,-18.7, T,0
12/3/1919,34,27,30.5,-19.4,0.01,0
12/4/1919,45,34,39.5,-12.1,0.05,0
12/5/1919,58,45,51.5,-1.8,0.04,0
12/6/1919,78,56,67,16.5, T,0
12/7/1919,60,39,49.5,2.8,0,0
12/8/1919,55,42,48.5,3.6,0.03,0
12/9/1919,55,19,37,-20.2, T, T
12/10/1919,32,15,23.5,-23.9,0,0
12/11/1919,50,26,38,-9.2,0,0
12/12/1919,68,28,48,7,0,0
12/13/1919,28,17,22.5,-19.7, T, T
12/14/1919,33,15,24,-22,0,0
12/15/1919,47,21,34,-14.9,0,0
12/16/1919,53,30,41.5,-7.7,0,0
12/17/1919,61,45,53,8,0,0
12/18/1919,61,52,56.5,7.6,0.35,0
12/19/1919,58,40,49,0.3,0,0
12/20/1919,43,38,40.5,-5.1,0,0
12/21/1919,48,39,43.5,-2,0,0
12/22/1919,58,31,44.5,-1.4,0,0
12/23/1919,69,37,53,4.7,0,0
12/24/1919,49,36,42.5,-2.7,0,0
12/25/1919,39,35,37,-8.1, T,0
12/26/1919,43,36,39.5,-4.6, T,0
12/27/1919,66,34,50,3.5,0,0
12/28/1919,59,41,50,3,0,0
12/29/1919,73,42,57.5,10.1,0,0
12/30/1919,76,42,59,10.6,0,0
12/31/1919,65,38,51.5, M,0,0
1/1/1920,42,28,35, M,0,0
1/2/1920,52,24,38,-7.4,0,0
1/3/1920,56,30,43,-2.4,0,0
1/4/1920,51,39,45,2.6,0,0
1/5/1920,41,31,36,-7.4,1.24,0.2
1/6/1920,43,33,38,-6.9,0.01,0
1/7/1920,43,32,37.5,-7.4,1.2,0
1/8/1920,32,29,30.5,-12.4,0.22, T
1/9/1920,36,27,31.5,-14,0,0
1/10/1920,42,32,37,-9.5,0.04,0
1/11/1920,39,35,37,-9.5,0.45,0
1/12/1920,47,37,42,-5.1, T,0
1/13/1920,57,44,50.5,3.9,0.01,0
1/14/1920,48,42,45,-3.7,0,0
1/15/1920,56,45,50.5,2.3, T,0
1/16/1920,63,50,56.5,10.7, T,0
1/17/1920,72,44,58,9.2,0,0
1/18/1920,71,45,58,8.6,0,0
1/19/1920,72,52,62,14.6,0,0
1/20/1920,76,44,60,20.5, T,0
1/21/1920,44,30,37,-3.6,0.56,0.2
1/22/1920,35,30,32.5,-15.1,1.12,0
1/23/1920,39,34,36.5, M,0.08,0
1/24/1920,37,30,33.5, M, T, T
1/25/1920,44,30,37,-10.9,0,0
1/26/1920,51,27,39,-7,0,0
1/27/1920,48,33,40.5,-8.5,0,0
1/28/1920,50,32,41,-5.6,0,0
1/29/1920,55,31,43,-2.2,0,0
1/30/1920,63,33,48,3.7,0,0
1/31/1920,65,36,50.5,3.6,0,0
2/1/1920,63,46,54.5,5.9,0,0
2/2/1920,65,50,57.5,9.8,0,0
2/3/1920,60,47,53.5,2.2, T,0
2/4/1920,47,41,44,-1.9,0,0
2/5/1920,65,36,50.5,2.9,0,0
2/6/1920,61,48,54.5,6.3,0,0
2/7/1920,64,40,52,4.7,0,0
2/8/1920,72,50,61,12.5,0,0
2/9/1920,61,45,53,6.9,0.23,0
2/10/1920,54,44,49,0.2,0.04,0
2/11/1920,57,41,49,-1.5,0.52,0
2/12/1920,56,40,48,-0.2,0,0
2/13/1920,69,40,54.5,4.7,0,0
2/14/1920,47,33,40,-9.5,0,0
2/15/1920,58,30,44,-5.7,0,0
2/16/1920,45,23,34,-14.4,0,0
2/17/1920,60,43,51.5,2.8,0,0
2/18/1920,68,49,58.5,7.1, T,0
2/19/1920,75,50,62.5,9.4,0,0
2/20/1920,74,57,65.5,17.7,0,0
2/21/1920,78,52,65,15.9,0,0
2/22/1920,60,47,53.5,1.7,0,0
2/23/1920,55,47,51, M,0,0
2/24/1920,50,38,44, M,0,0
2/25/1920,51,35,43,-8.1,0,0
2/26/1920,46,33,39.5,-13.3,0,0
2/27/1920,59,34,46.5,-6.1,0,0
2/28/1920,61,35,48,-3.9,0,0
2/29/1920,42,27,34.5,-18.5,0,0
3/1/1920,53,25,39,-16.2,0,0
3/2/1920,73,44,58.5,6,0,0
3/3/1920,80,38,59,16.3, T,0
3/4/1920,44,29,36.5,-12.5,0,0
3/5/1920,47,23,35,-20.3,0,0
3/6/1920,44,22,33,-20.1,0,0
3/7/1920,36,20,28,-25.4,0,0
3/8/1920,48,31,39.5,-11.7, T, T
3/9/1920,55,43,49,-2.5,0.01,0
3/10/1920,72,48,60,10.2, T,0
3/11/1920,78,56,67,17.4,0.11,0
3/12/1920,60,44,52,-0.4,0,0
3/13/1920,77,45,61,3.3,0,0
3/14/1920,75,49,62,6.5,0,0
3/15/1920,74,60,67,11.7,0,0
3/16/1920,75,56,65.5,8.4,0,0
3/17/1920,69,54,61.5,3.6,0,0
3/18/1920,82,61,71.5,17.3, T,0
3/19/1920,69,53,61,3.5,0,0
3/20/1920,69,41,55,-3.3,0,0
3/21/1920,74,46,60,0.5,0,0
3/22/1920,73,49,61,3.7,0,0
3/23/1920,68,56,62,2.9, T,0
3/24/1920,69,59,64,8.1,3.98,0
3/25/1920,65,53,59,0.3,0.41,0
3/26/1920,79,54,66.5,2.5,0,0
3/27/1920,80,54,67,5.8,0.09,0
3/28/1920,68,52,60,-3,0,0
3/29/1920,73,48,60.5,-3.3,0,0
3/30/1920,79,54,66.5,2.4,0,0
3/31/1920,74,60,67,7.2,1.02,0
4/1/1920,79,48,63.5,5.9,0,0
4/2/1920,66,41,53.5,-11.4,0,0
4/3/1920,81,41,61,6.9,0,0
4/4/1920,48,33,40.5,-19.4,0,0
4/5/1920,67,32,49.5,-14.2,0,0
4/6/1920,84,52,68,3.1,0,0
4/7/1920,68,57,62.5,-1.2, T,0
4/8/1920,81,57,69,9.5,0.84,0
4/9/1920,70,58,64,1.8, T,0
4/10/1920,73,54,63.5,-0.5,0,0
4/11/1920,82,44,63,8.2,0.09,0
4/12/1920,64,42,53,-10,0,0
4/13/1920,67,41,54,-11.3,0,0
4/14/1920,77,50,63.5,0.4,0,0
4/15/1920,85,63,74,11.2,0,0
4/16/1920,91,62,76.5,7.9,0,0
4/17/1920,92,63,77.5,10.6,0,0
4/18/1920,79,68,73.5,2.4,0,0
4/19/1920,75,60,67.5,0.1,0,0
4/20/1920,76,53,64.5,-1.2, T,0
4/21/1920,92,61,76.5,7,0,0
4/22/1920,77,57,67,-2.2,0,0
4/23/1920,80,52,66,-2,0,0
4/24/1920,70,54,62,-3.3,1.03,0
4/25/1920,67,54,60.5,-10.1,0.16,0
4/26/1920,58,47,52.5,-12.4,0,0
4/27/1920,66,43,54.5,-15.2,0,0
4/28/1920,81,46,63.5,-3.4,0,0
4/29/1920,86,57,71.5,4.3,0,0
4/30/1920,88,67,77.5,7,0,0
5/1/1920,84,66,75,5.2,0,0
5/2/1920,92,72,82,13.4,0,0
5/3/1920,95,65,80,13.1,0.57,0
5/4/1920,80,62,71,-0.7,1.96,0
5/5/1920,84,62,73,0.5,1.9,0
5/6/1920,82,66,74,1.2,1.16,0
5/7/1920,80,65,72.5,-1.1,0.01,0
5/8/1920,79,64,71.5,-1.4,0,0
5/9/1920,78,63,70.5,-1.7,1.04,0
5/10/1920,80,63,71.5,-2,2.06,0
5/11/1920,83,65,74,3.7,1.53,0
5/12/1920,86,72,79,6.4,0.2,0
5/13/1920,76,60,68,-6.4,0,0
5/14/1920,64,56,60,-12.7,0.52,0
5/15/1920,61,53,57,-17,1.94,0
5/16/1920,63,54,58.5,-15.8,0.03,0
5/17/1920,73,58,65.5,-5.6,0,0
5/18/1920,81,60,70.5,-6.9,0,0
5/19/1920,87,65,76,0.8,0,0
5/20/1920,83,69,76,1.5,0,0
5/21/1920,86,70,78,2.7,0,0
5/22/1920,86,68,77,1.9,0,0
5/23/1920,87,68,77.5,0.7, T,0
5/24/1920,89,73,81,4.4, T,0
5/25/1920,91,70,80.5,3.1,0,0
5/26/1920,94,72,83,3.8,0,0
5/27/1920,83,72,77.5,-2.9, T,0
5/28/1920,80,67,73.5,-4.2,0,0
5/29/1920,85,62,73.5,-4,0,0
5/30/1920,92,70,81,1.8,0,0
5/31/1920,88,69,78.5,0.5,0,0
6/1/1920,88,68,78,2.2,0.44,0
6/2/1920,80,69,74.5,-6,0.04,0
6/3/1920,78,69,73.5,-4.2,1.98,0
6/4/1920,84,69,76.5,-3.5,0.02,0
6/5/1920,80,68,74,-5.7, T,0
6/6/1920,85,67,76,-3,0,0
6/7/1920,89,68,78.5,-1.2,0,0
6/8/1920,88,71,79.5,0.1,0,0
6/9/1920,91,69,80,-2.1,0,0
6/10/1920,90,73,81.5,-0.3,0,0
6/11/1920,90,69,79.5,-2.1,0,0
6/12/1920,87,72,79.5,0.2,0,0
6/13/1920,92,72,82,1.5,0,0
6/14/1920,93,69,81,-1.2,0,0
6/15/1920,93,71,82,0.1,0,0
6/16/1920,94,71,82.5,0.4,0,0
6/17/1920,92,74,83,2.8, T,0
6/18/1920,84,64,74,-6.9,0.38,0
6/19/1920,73,62,67.5,-12.1,1.26,0
6/20/1920,77,63,70,-11.8,0,0
6/21/1920,88,64,76,-6.4,0,0
6/22/1920,89,69,79,-4.6,0.17,0
6/23/1920,84,65,74.5,-6.8,0,0
6/24/1920,89,70,79.5,-4.4,0,0
6/25/1920,92,73,82.5,-1.6,0,0
6/26/1920,90,73,81.5,-2.2,0,0
6/27/1920,90,73,81.5,-1.4, T,0
6/28/1920,88,72,80,-3,0,0
6/29/1920,91,72,81.5,-2.7, T,0
6/30/1920,94,75,84.5,0.2,0,0
7/1/1920,96,77,86.5,1.6,0,0
7/2/1920,97,75,86,0.9,0,0
7/3/1920,96,75,85.5,1.8,0,0
7/4/1920,96,76,86,1.2, T,0
7/5/1920,87,73,80,-0.4,0,0
7/6/1920,90,68,79,-5.5,0.4,0
7/7/1920,94,72,83,-4.2,0,0
7/8/1920,91,74,82.5,-3.3, T,0
7/9/1920,91,69,80,-5.9,0.43,0
7/10/1920,88,66,77,-10,0,0
7/11/1920,92,70,81,-5.6,0,0
7/12/1920,92,74,83,-2.7,0,0
7/13/1920,92,73,82.5,-2.3,0,0
7/14/1920,93,75,84,-0.9,0,0
7/15/1920,97,76,86.5,0.5,0,0
7/16/1920,99,78,88.5,0.4,0,0
7/17/1920,94,79,86.5,0.3, T,0
7/18/1920,91,70,80.5,-4.2,0.73,0
7/19/1920,93,76,84.5,-1.3,0,0
7/20/1920,89,73,81,-3.4, T,0
7/21/1920,94,72,83,-1.5,0,0
7/22/1920,96,76,86,-0.6,0,0
7/23/1920,95,75,85,-1.1,0,0
7/24/1920,96,76,86,-0.7,0,0
7/25/1920,95,77,86,-1.7,0,0
7/26/1920,96,77,86.5,-0.3,0,0
7/27/1920,96,73,84.5,-1.8,0.27,0
7/28/1920,84,72,78,-8.4,0.06,0
7/29/1920,89,73,81,-5.9,0,0
7/30/1920,92,70,81,-5.5,0,0
7/31/1920,89,70,79.5,-5,0,0
8/1/1920,101,73,87,0.5,0.15,0
8/2/1920,90,72,81,-4.5,0.73,0
8/3/1920,84,72,78,-6.5,0,0
8/4/1920,87,68,77.5,-8,0,0
8/5/1920,82,70,76,-13,1.03,0
8/6/1920,80,70,75,-9.5,0.45,0
8/7/1920,89,67,78,-5,0.27,0
8/8/1920,90,70,80,-4,0.01,0
8/9/1920,89,71,80,-4.9,0.04,0
8/10/1920,91,72,81.5,-3.9,0.08,0
8/11/1920,90,73,81.5,-2.8,0.08,0
8/12/1920,83,73,78,-7.7, T,0
8/13/1920,79,67,73,-14.7,0.02,0
8/14/1920,72,68,70,-12.6,0.06,0
8/15/1920,79,66,72.5,-13.5,0.01,0
8/16/1920,86,70,78,-10.4, T,0
8/17/1920,89,72,80.5,-5.2,0,0
8/18/1920,88,72,80,-5.1,0,0
8/19/1920,90,73,81.5,-2,0,0
8/20/1920,92,74,83,-2.3,0,0
8/21/1920,87,72,79.5,-6.7, T,0
8/22/1920,81,67,74,-11,0.17,0
8/23/1920,82,64,73,-8.8,0,0
8/24/1920,86,68,77,-5.6,1.78,0
8/25/1920,87,66,76.5,-5.4,0.02,0
8/26/1920,81,71,76,-6.2,0.16,0
8/27/1920,79,70,74.5,-9.9,1.42,0
8/28/1920,89,70,79.5,-3.7,0.02,0
8/29/1920,90,74,82,0,0,0
8/30/1920,91,74,82.5,-1.2,0,0
